"Path","LineNumber","Line"
"C:\Users\mooya\develop\test\src\tests\ActionLabelStability.test.js","19","vi.mock('../Minimap.js', () => ({ Minimap: class { update() { } serialize() { return {}; } } }));"
"C:\Users\mooya\develop\test\src\tests\CombatBalance.test.js","14","        serialize() { return {}; }"
"C:\Users\mooya\develop\test\src\tests\CounterBalance.test.js","12","    Minimap: class { update() { } serialize() { return {}; } deserialize() { } }"
"C:\Users\mooya\develop\test\src\tests\DoubleSpawn.test.js","10","        serialize() { return {}; }"
"C:\Users\mooya\develop\test\src\tests\JobReassignment.test.js","9"," return {}; }"
"C:\Users\mooya\develop\test\src\tests\JobReassignment.test.js","29","vi.mock('../Minimap.js', () => ({ Minimap: class { update() { } serialize() { return {}; } } }));"
"C:\Users\mooya\develop\test\src\tests\LoadUpdateLoop.test.js","39","vi.mock('../GoblinManager.js', () => ({ GoblinManager: class { constructor() { this.goblins = []; } update() { } reset() { } scanForCaves() { } serialize() { return {}; } deserialize() { } } }));"
"C:\Users\mooya\develop\test\src\tests\MovingFlicker.test.js","7"," return {}; }"
"C:\Users\mooya\develop\test\src\tests\MovingFlicker.test.js","17","vi.mock('../Minimap.js', () => ({ Minimap: class { update() { } serialize() { return {}; } } }));"
"C:\Users\mooya\develop\test\src\tests\PopulationSpawningFix.test.js","52","        MeshBasicMaterial: vi.fn().mockImplementation(function () { return {}; }),"
"C:\Users\mooya\develop\test\src\tests\PopulationSpawningFix.test.js","53","        MeshLambertMaterial: vi.fn().mockImplementation(function () { return {}; }),"
"C:\Users\mooya\develop\test\src\tests\PopulationSpawningFix.test.js","54","        LineBasicMaterial: vi.fn().mockImplementation(function () { return {}; }),"
"C:\Users\mooya\develop\test\src\tests\PopulationSpawningFix.test.js","55","        PointsMaterial: vi.fn().mockImplementation(function () { return {}; }),"
"C:\Users\mooya\develop\test\src\tests\PopulationSpawningFix.test.js","56","        ShaderMaterial: vi.fn().mockImplementation(function () { return {}; }),"
"C:\Users\mooya\develop\test\src\tests\RealTerrainRestoration.test.js","52","vi.mock('../GoblinManager.js', () => ({ GoblinManager: class { update() { } reset() { } scanForCaves() { } serialize() { return {}; } deserialize() { } } }));"
"C:\Users\mooya\develop\test\src\tests\StuckReassignment.test.js","9"," return {}; } }"
"C:\Users\mooya\develop\test\src\tests\StuckReassignment.test.js","12","vi.mock('../Minimap.js', () => ({ Minimap: class { update() { } serialize() { return {}; } } }));"
"C:\Users\mooya\develop\test\src\tests\WinLossDelay.test.js","37","vi.mock('../Minimap', () => ({ Minimap: class { update() { } drawRaidPing() { } serialize() { return {}; } deserialize() { } dispose() { } } }));"
"C:\Users\mooya\develop\test\src\tests\WinLossDelay.test.js","45","vi.mock('../PerformanceMonitor', () => ({ PerformanceMonitor: class { enable() { } disable() { } toggle() { } update() { } startUpdate() { } endUpdate() { } startRender() { } endRender() { } updateEntityCount() { } getStats() { return {}; } dispose() { } begin() { } end() { } } }));"
